state,value
Alabama,11.3
Alaska,30.4
Arizona,13.3
Arkansas,9.8
California,42.3
Colorado,32.8
Connecticut,4.6
Delaware,6.9
District of Columbia,37.4
Florida,6.6
Georgia,11.6
Hawaii,22.8
Idaho,73.8
Illinois,11.2
Indiana,12.7
Iowa,57.3
Kansas,45.5
Kentucky,8.2
Louisiana,5.6
Maine,74.3
Maryland,10.2
Massachusetts,22.6
Michigan,10.9
Minnesota,29.1
Mississippi,2.7
Missouri,11.3
Montana,52.9
Nebraska,28.8
Nevada,31
New Hampshire,15.8
New Jersey,4.8
New Mexico,35.9
New York,28.8
North Carolina,15.6
North Dakota,39.5
Ohio,4
Oklahoma,45.2
Oregon,66.6
Pennsylvania,3.8
Rhode Island,9
South Carolina,7.7
South Dakota,82.1
Tennessee,16.4
Texas,24.7
Utah,13.2
Vermont,99.7
Virginia,8.7
Washington,74.9
West Virginia,4.9
Wisconsin,8.7
Wyoming,23.1